20	13
20.02	5
20.04	8
20.06	10
20.08	10
20.1	10
20.12	11
20.14	9
20.16	7
20.18	13
20.2	9
20.22	16
20.24	11
20.26	7
20.28	9
20.3	10
20.32	9
20.34	10
20.36	12
20.38	10
20.4	10
20.42	7
20.44	9
20.46	9
20.48	15
20.5	7
20.52	10
20.54	14
20.56	14
20.58	6
20.6	10
20.62	9
20.64	13
20.66	11
20.68	14
20.7	5
20.72	11
20.74	11
20.76	10
20.78	12
20.8	11
20.82	15
20.84	7
20.86	7
20.88	13
20.9	9
20.92	11
20.94	6
20.96	7
20.98	10
21	7
21.02	10
21.04	9
21.06	9
21.08	10
21.1	4
21.12	9
21.14	7
21.16	10
21.18	9
21.2	5
21.22	8
21.24	17
21.26	5
21.28	11
21.3	9
21.32	11
21.34	12
21.36	9
21.38	11
21.4	9
21.42	7
21.44	11
21.46	13
21.48	7
21.5	15
21.52	12
21.54	8
21.56	18
21.58	11
21.6	14
21.62	12
21.64	14
21.66	12
21.68	8
21.7	11
21.72	11
21.74	14
21.76	11
21.78	8
21.8	8
21.82	8
21.84	14
21.86	13
21.88	13
21.9	17
21.92	13
21.94	10
21.96	9
21.98	10
22	9
22.02	13
22.04	9
22.06	12
22.08	12
22.1	8
22.12	14
22.14	15
22.16	18
22.18	9
22.2	6
22.22	4
22.24	7
22.26	10
22.28	8
22.3	8
22.32	11
22.34	8
22.36	4
22.38	9
22.4	7
22.42	14
22.44	8
22.46	11
22.48	9
22.5	18
22.52	8
22.54	12
22.56	12
22.58	10
22.6	24
22.62	12
22.64	8
22.66	3
22.68	8
22.7	8
22.72	9
22.74	9
22.76	7
22.78	8
22.8	13
22.82	10
22.84	12
22.86	8
22.88	12
22.9	10
22.92	12
22.94	9
22.96	13
22.98	11
23	4
23.02	8
23.04	7
23.06	5
23.08	12
23.1	12
23.12	15
23.14	15
23.16	14
23.18	11
23.2	11
23.22	8
23.24	12
23.26	10
23.28	10
23.3	7
23.32	15
23.34	11
23.36	11
23.38	13
23.4	10
23.42	13
23.44	17
23.46	11
23.48	14
23.5	9
23.52	16
23.54	13
23.56	10
23.58	8
23.6	15
23.62	12
23.64	14
23.66	13
23.68	7
23.7	12
23.72	17
23.74	17
23.76	15
23.78	12
23.8	16
23.82	15
23.84	16
23.86	13
23.88	11
23.9	15
23.92	11
23.94	14
23.96	16
23.98	18
24	14
24.02	8
24.04	10
24.06	7
24.08	16
24.1	11
24.12	8
24.14	21
24.16	14
24.18	11
24.2	20
24.22	13
24.24	18
24.26	21
24.28	24
24.3	35
24.32	23
24.34	31
24.36	40
24.38	41
24.4	45
24.42	67
24.44	67
24.46	77
24.48	88
24.5	108
24.52	83
24.54	88
24.56	90
24.58	53
24.6	53
24.62	48
24.64	32
24.66	28
24.68	18
24.7	24
24.72	20
24.74	15
24.76	15
24.78	14
24.8	19
24.82	15
24.84	21
24.86	12
24.88	19
24.9	15
24.92	14
24.94	11
24.96	13
24.98	18
25	17
25.02	17
25.04	21
25.06	29
25.08	20
25.1	21
25.12	16
25.14	21
25.16	19
25.18	31
25.2	19
25.22	26
25.24	18
25.26	19
25.28	18
25.3	17
25.32	30
25.34	13
25.36	17
25.38	17
25.4	14
25.42	13
25.44	13
25.46	11
25.48	9
25.5	11
25.52	16
25.54	11
25.56	14
