# Pico	Centro (2theta °)	Altura (u.a.)	FWHM (°)
0	-76.9559	11.71	217.6514
1	30.2875	113.42	0.3241
2	35.6462	365.24	0.3328
3	37.2830	25.24	0.2538
4	43.2911	83.96	0.3370
5	53.6712	33.41	0.3484
6	57.2054	109.35	0.4188
7	62.8028	157.92	0.4020
8	71.2585	10.54	0.4490
9	74.2834	23.20	0.5171
10	79.2853	12.17	0.5032
