# Pico	Centro (2theta °)	Altura (u.a.)	FWHM (°)
0	23.6600	10.02	2.3548
1	30.2876	116.73	0.3543
2	35.6462	368.47	0.3413
3	37.2845	27.60	0.3771
4	43.2926	86.79	0.3724
5	53.6737	35.39	0.4419
6	57.2060	111.36	0.4484
7	62.8035	160.08	0.4181
8	71.2618	12.19	0.7434
9	74.2655	26.22	0.5405
10	75.2334	11.48	0.7830
11	79.2775	13.61	0.7413
