No.	Pos. [°2Th.]	Height [cts]	FWHM [°2Th.]	d-spacing [Å]	Rel. Int. [%]	Tip width [°2Th.]	Matched by
1	30,1134	206,20	0,1771	2,96772	29,04	0,1800	
2	35,4408	710,18	0,1771	2,53287	100,00	0,1800	
3	37,0672	42,08	0,1378	2,42539	5,93	0,1400	
4	43,0457	159,82	0,1771	2,10138	22,50	0,1800	
5	53,4206	60,78	0,1771	1,71518	8,56	0,1800	
6	56,8983	203,70	0,1574	1,61833	28,68	0,1600	
7	62,4997	287,31	0,1181	1,48608	40,46	0,1200	
8	70,9230	22,66	0,2362	1,32885	3,19	0,2400	
9	73,8772	50,03	0,1771	1,28285	7,04	0,1800	
10	74,9141	21,92	0,2362	1,26764	3,09	0,2400	
11	78,8942	14,24	0,4800	1,21237	2,01	0,4000	
