No.	Pos. [°2Th.]	Height [cts]	FWHM [°2Th.]	d-spacing [Å]	Rel. Int. [%]	Tip width [°2Th.]	Matched by
1	30,2646	119,00	0,2165	2,95323	30,12	0,2200	
2	35,6288	395,13	0,2165	2,51994	100,00	0,2200	
3	37,2549	29,38	0,2362	2,41360	7,44	0,2400	
4	43,2716	98,21	0,1574	2,09093	24,86	0,1600	
5	53,6416	40,18	0,1574	1,70863	10,17	0,1600	
6	57,2517	116,55	0,2362	1,60918	29,50	0,2400	
7	62,8020	173,35	0,2165	1,47966	43,87	0,2200	
8	71,2654	11,89	0,4723	1,32330	3,01	0,4800	
9	74,2170	22,26	0,4800	1,27675	5,63	0,4000	
